"","Accession","Kr1","kr1","Kr2","kr2","Kr3","kr3","Kx","n"
"148","PI_571582",0.000471423490394797,0.000145533525222654,0.00018175327230625,5.61091990077323e-05,0.000162594179740874,5.01945801185226e-05,3.72807819288496,3
"149","PI_571584",0.000499226501513136,0.000149869185857514,0.000193240480381057,5.80113302912503e-05,0.000172298086630958,5.17243653730786e-05,6.56604012799139,3
"150","PI_571629",0.000583390581439501,0.000145235227547199,0.000234988815273958,5.85005228797981e-05,0.000209842946094214,5.22404526140406e-05,6.39059439041976,2
"151","PI_571676",0.000554541670642307,0.000151018236130475,0.000219667040634026,5.98218867377955e-05,0.000195437118571305,5.32233563022869e-05,3.04815002349108,3
"152","PI_571749",0.000522107531030878,0.000145405671125424,0.000204521944381402,5.69588615661928e-05,0.000182701986607814,5.08820566640827e-05,6.83084295645547,2
"153","PI_571770",0.000459012927150445,0.000144678409798851,0.000180343173158317,5.68431997604117e-05,0.000161460769622633,5.08915675619844e-05,1.97452938901425,3
"154","PI_571819",0.00055898523044606,0.000152015987626309,0.000222824279406813,6.05970445303491e-05,0.00019788590674812,5.38150561288327e-05,9.8136985431949,3
"155","PI_571822",0.000441989555676222,0.000144356937902321,0.000173656537920045,5.67174625257885e-05,0.000155395868513466,5.07533977968215e-05,1.7051090963605,3
"156","PI_571853",0.000492284787951819,0.000141002111661508,0.000199033446763491,5.7007929092595e-05,0.00017831731378743,5.10743342170795e-05,3.78124412707632,2
"157","PI_571891",0.000438587624594383,0.000159992951144701,0.000163755748126707,5.97366727662015e-05,0.000145407099954508,5.30432454874426e-05,1.93168297422394,2
"158","PI_571913",0.000522793402700117,0.000131802303964883,0.000218236216058491,5.50198911013926e-05,0.000196408930063317,4.95169781560383e-05,7.21683428710552,3
"159","PI_571954",0.000447519430416614,0.000143773807869028,0.000172828124681843,5.55241982884175e-05,0.000154945705843957,4.97791439388483e-05,3.06087330282654,3
"160","PI_571975",0.000523911725498571,0.000144093807247194,0.000207748916424293,5.71381224395541e-05,0.000185562166241336,5.10360003668665e-05,2.98082219199781,3
"161","PI_571986",0.000533155304781845,0.000141735815695043,0.00021966564703941,5.83966611305683e-05,0.00019615313970581,5.21460163820797e-05,5.31736841427265,3
"162","PI_571994",0.000526068031667399,0.000129807320546028,0.000219871454943829,5.42532956058044e-05,0.000197847075527539,4.88187785726061e-05,6.11883753550948,2
"163","PI_572037",0.000403747081959459,0.000146793294965853,0.00015277246187951,5.55446071597621e-05,0.000136849012673505,4.97552016615807e-05,1.62952344541258,3
"164","PI_572038",0.000455495501781543,0.000150907268139855,0.000174252127210995,5.7730345046484e-05,0.000155585371683687,5.15459830261283e-05,2.04667533152514,3
"165","PI_572049",0.000420821346606401,0.000150400335973097,0.000157926816578474,5.64425889135799e-05,0.000140985569905611,5.03878361973758e-05,2.04966046665018,3
"166","PI_572073",0.000382031404799134,0.000141875115097582,0.000146028021581056,5.42304692991861e-05,0.000131386202135436,4.87929325077347e-05,2.39861530737673,3
"167","PI_572146",0.000432688204721789,0.000149341975897147,0.000164310107620331,5.6711497711547e-05,0.000146859842309397,5.06885530760674e-05,4.45714663997763,3
"168","PI_583344",0.000454766724355153,0.000144334516538851,0.000178824953479981,5.67557207317978e-05,0.00016016182027986,5.08323886952261e-05,1.80487818226757,2
"169","PI_583749",0.000480400033438416,0.000174662572093121,0.000177663297602965,6.45943513029697e-05,0.000156203582511358,5.67920849137312e-05,5.67096657414505,3
"170","PI_583750",0.00054892305240996,0.000148590698765849,0.00021764537778445,5.89155048711558e-05,0.000194184907811142,5.25648741016804e-05,5.12595527919795,3
"171","PI_583751",0.000520454209665512,0.000142736406807538,0.000209364069442463,5.74188361470396e-05,0.000187410864629606,5.13980921224864e-05,5.1094050996893,3
"172","PI_583752",0.00050238429037837,0.000142362069034447,0.000200096756419646,5.67019884907792e-05,0.000179022535156492,5.07301263132163e-05,3.95077749470258,2
"173","PI_583894",0.000441995987703328,0.000140104086944515,0.000176875173907273,5.60659721645801e-05,0.000158457428826614,5.02279070465895e-05,2.93081415931079,3
"174","PI_583917",0.000618011811043292,0.000143353320213277,0.000251216033023215,5.82717866894675e-05,0.000224367475136367,5.20440255896908e-05,11.9673232601212,3
"175","PI_583923",0.000476335690968105,0.000141326621296292,0.000190589624421134,5.65470700270741e-05,0.00017037647425328,5.05499208040722e-05,5.45935083530757,3
"176","PI_583926",0.000432970365924863,0.000150685185082654,0.000169432386596046,5.89669698956986e-05,0.000150630141848253,5.2423289420619e-05,2.85225999046772,3
"177","PI_583927",0.000462151727686674,0.000149348946424979,0.000181828721070303,5.87597671820503e-05,0.00016201970828265,5.23582868622349e-05,2.60000248156811,3
"178","PI_583928",0.00045183657992704,0.000148070093885511,0.000173432334103652,5.68350220729311e-05,0.000154900503471296,5.07620080154008e-05,2.62997336715582,3
"179","PI_583932",0.000420788775693594,0.000141272250685235,0.000167448207712449,5.62177190628583e-05,0.000149605448522772,5.02273341125811e-05,5.71393568042866,3
